bs,seq,nh,nkv,hd,t_measured_ms
2,64,16,4,64,0.08465209975838661
2,64,16,4,128,0.0847021583467722
2,64,16,8,64,0.08479692041873932
2,64,16,8,128,0.07999339140951633
2,64,32,1,64,0.09333784691989422
2,64,32,1,128,0.09582308121025562
2,64,32,2,64,0.10349135845899582
2,64,32,2,128,0.09310734458267689
2,64,32,4,64,0.0906528439372778
2,64,32,4,128,0.09567686356604099
2,64,32,8,64,0.09159999899566174
2,64,32,8,128,0.0892456155270338
2,64,64,1,64,0.0950307585299015
2,64,64,1,128,0.1139659434556961
2,64,64,2,64,0.09860750287771225
2,64,64,2,128,0.11111097410321236
2,64,64,4,64,0.09419955313205719
2,64,64,4,128,0.11141598224639893
2,64,64,8,64,0.08770264685153961
2,64,64,8,128,0.10302569717168808
2,128,2,1,64,0.07981806993484497
2,128,2,1,128,0.083880964666605
2,128,2,2,64,0.09606312960386276
2,128,2,2,128,0.10001566261053085
2,128,2,4,64,-1.0
2,128,2,4,128,-1.0
2,128,2,8,64,-1.0
2,128,2,8,128,-1.0
2,128,4,1,64,0.09617325849831104
2,128,4,1,128,0.09494158439338207
2,128,4,2,64,0.10584155097603798
2,128,4,2,128,0.09151501581072807
2,128,4,4,64,0.0978764146566391
2,128,4,4,128,0.09148451499640942
2,128,4,8,64,-1.0
2,128,4,8,128,-1.0
2,128,8,1,64,0.09657396003603935
2,128,8,1,128,0.08452637121081352
2,128,8,2,64,0.07862038910388947
2,128,8,2,128,0.10066642425954342
2,128,8,4,64,0.08360971696674824
2,128,8,4,128,0.08092029020190239
2,128,8,8,64,0.09501120075583458
2,128,8,8,128,0.07858057506382465
2,128,16,1,64,0.08126045577228069
2,128,16,1,128,0.0917299184948206
2,128,16,2,64,0.08644978515803814
2,128,16,2,128,0.08803838863968849
2,128,16,4,64,0.08191191591322422
2,128,16,4,128,0.09088846854865551
2,128,16,8,64,0.08403090760111809
2,128,16,8,128,0.08807866834104061
2,128,32,1,64,0.10365224443376064
2,128,32,1,128,0.12275786139070988
2,128,32,2,64,0.11250353418290615
2,128,32,2,128,0.12338394299149513
2,128,32,4,64,0.10338146239519119
2,128,32,4,128,0.13056211173534393
2,128,32,8,64,0.11036009527742863
2,128,32,8,128,0.12515252456068993
2,128,64,1,64,0.14033052138984203
2,128,64,1,128,0.18116086721420288
2,128,64,2,64,0.13861223123967648
2,128,64,2,128,0.17430842854082584
2,128,64,4,64,0.13782083988189697
2,128,64,4,128,0.17825537361204624
2,128,64,8,64,0.1379912719130516
2,128,64,8,128,0.1811259426176548
2,256,2,1,64,0.09648408740758896
2,256,2,1,128,0.09583309292793274
2,256,2,2,64,0.09912904351949692
2,256,2,2,128,0.09694439359009266
2,256,2,4,64,-1.0
2,256,2,4,128,-1.0
2,256,2,8,64,-1.0
2,256,2,8,128,-1.0
2,256,4,1,64,0.09435485117137432
2,256,4,1,128,0.09489594958722591
2,256,4,2,64,0.09609851986169815
2,256,4,2,128,0.08346955291926861
2,256,4,4,64,0.10799500159919262
2,256,4,4,128,0.1004515215754509
2,256,4,8,64,-1.0
2,256,4,8,128,-1.0
2,256,8,1,64,0.09787664748728275
2,256,8,1,128,0.11187815107405186
2,256,8,2,64,0.0976508017629385
2,256,8,2,128,0.10749464854598045
2,256,8,4,64,0.09772647172212601
2,256,8,4,128,0.1085114199668169
2,256,8,8,64,0.09873788803815842
2,256,8,8,128,0.10247994214296341
2,256,16,1,64,0.11483253911137581
2,256,16,1,128,0.12683053500950336
2,256,16,2,64,0.11351564899086952
2,256,16,2,128,0.1310135703533888
2,256,16,4,64,0.11498341336846352
2,256,16,4,128,0.12828316539525986
2,256,16,8,64,0.11853943578898907
2,256,16,8,128,0.12398487888276577
2,256,32,1,64,0.18469244241714478
2,256,32,1,128,0.2618301659822464
2,256,32,2,64,0.18514343537390232
2,256,32,2,128,0.26142969727516174
2,256,32,4,64,0.1833699643611908
2,256,32,4,128,0.2606282941997051
2,256,32,8,64,0.17573032528162003
2,256,32,8,128,0.2555591054260731
2,256,64,1,64,0.27753994800150394
2,256,64,1,128,0.42969686910510063
2,256,64,2,64,0.27230498380959034
2,256,64,2,128,0.43293810449540615
2,256,64,4,64,0.27632247656583786
2,256,64,4,128,0.4330030642449856
2,256,64,8,64,0.2761874347925186
2,256,64,8,128,0.4323064349591732
2,512,2,1,64,0.09811203926801682
2,512,2,1,128,0.10906718671321869
2,512,2,2,64,0.10495493188500404
2,512,2,2,128,0.11137174442410469
2,512,2,4,64,-1.0
2,512,2,4,128,-1.0
2,512,2,8,64,-1.0
2,512,2,8,128,-1.0
2,512,4,1,64,0.12611853890120983
2,512,4,1,128,0.13507064431905746
2,512,4,2,64,0.12480141595005989
2,512,4,2,128,0.1279124990105629
2,512,4,4,64,0.12215203605592251
2,512,4,4,128,0.12785685248672962
2,512,4,8,64,-1.0
2,512,4,8,128,-1.0
2,512,8,1,64,0.1387272495776415
2,512,8,1,128,0.16666948795318604
2,512,8,2,64,0.15041418373584747
2,512,8,2,128,0.15592924319207668
2,512,8,4,64,0.14508399181067944
2,512,8,4,128,0.16073323786258698
2,512,8,8,64,0.14695758000016212
2,512,8,8,128,0.16164989210665226
2,512,16,1,64,0.22215209901332855
2,512,16,1,128,0.2640099264681339
2,512,16,2,64,0.22396491840481758
2,512,16,2,128,0.26653450913727283
2,512,16,4,64,0.2210449893027544
2,512,16,4,128,0.26778155006468296
2,512,16,8,64,0.2214659471064806
2,512,16,8,128,0.2673256676644087
2,512,32,1,64,0.4705179017037153
2,512,32,1,128,0.7603149861097336
2,512,32,2,64,0.46636047773063183
2,512,32,2,128,0.754419481381774
2,512,32,4,64,0.4643716383725405
2,512,32,4,128,0.7636758964508772
2,512,32,8,64,0.46759750694036484
2,512,32,8,128,0.7613524794578552
2,512,64,1,64,0.8590389043092728
2,512,64,1,128,1.4346810057759285
2,512,64,2,64,0.8524507284164429
2,512,64,2,128,1.433919882401824
2,512,64,4,64,0.8551559876650572
2,512,64,4,128,1.495769014582038
2,512,64,8,64,0.8563785813748837
2,512,64,8,128,1.4384891837835312
2,1024,2,1,64,0.17452286556363106
2,1024,2,1,128,0.19357888959348202
2,1024,2,2,64,0.1938545610755682
2,1024,2,2,128,0.18919608555734158
2,1024,2,4,64,-1.0
2,1024,2,4,128,-1.0
2,1024,2,8,64,-1.0
2,1024,2,8,128,-1.0
2,1024,4,1,64,0.21369708701968193
2,1024,4,1,128,0.24252035655081272
2,1024,4,2,64,0.21441304124891758
2,1024,4,2,128,0.2523630391806364
2,1024,4,4,64,0.2527395263314247
2,1024,4,4,128,0.23982510901987553
2,1024,4,8,64,-1.0
2,1024,4,8,128,-1.0
2,1024,8,1,64,0.3580641932785511
2,1024,8,1,128,0.41399733163416386
2,1024,8,2,64,0.36119483411312103
2,1024,8,2,128,0.41153794154524803
2,1024,8,4,64,0.35864999517798424
