M,N,K,t_measured_ms
512,8192,8192,0.6100165192037821
1024,256,256,0.11681672185659409
1024,256,512,0.11120643466711044
1024,256,1024,0.12457603588700294
1024,256,2048,0.1442725770175457
1024,256,4096,0.19230670295655727
1024,256,8192,0.3590863198041916
1024,512,256,0.14112680219113827
1024,512,512,0.1263245940208435
1024,512,1024,0.12516719289124012
1024,512,2048,0.2218864392489195
1024,512,4096,0.30777091160416603
1024,512,8192,0.48918742686510086
1024,1024,256,0.105671351775527
1024,1024,512,0.10897195897996426
1024,1024,1024,0.11611497029662132
1024,1024,2048,0.1544614788144827
1024,1024,4096,0.20669866353273392
1024,1024,8192,0.3916015848517418
1024,2048,256,0.10977359488606453
1024,2048,512,0.11152704246342182
1024,2048,1024,0.1308075152337551
1024,2048,2048,0.20644371397793293
1024,2048,4096,0.2922825515270233
1024,2048,8192,0.3912008833140135
1024,4096,256,0.12964545749127865
1024,4096,512,0.14077615924179554
1024,4096,1024,0.1530637964606285
1024,4096,2048,0.21383212879300117
1024,4096,4096,0.31501450575888157
1024,4096,8192,0.5425813142210245
1024,8192,256,0.1714180689305067
1024,8192,512,0.18813367933034897
1024,8192,1024,0.22897450253367424
1024,8192,2048,0.3227586857974529
1024,8192,4096,0.5089640617370605
1024,8192,8192,0.8812756277620792
2048,256,256,0.10563083924353123
2048,256,512,0.10257493704557419
2048,256,1024,0.11659134179353714
2048,256,2048,0.14248467050492764
2048,256,4096,0.2013184130191803
2048,256,8192,0.32302457839250565
2048,512,256,0.10330229997634888
2048,512,512,0.11265394277870655
2048,512,1024,0.13772491365671158
2048,512,2048,0.17961347475647926
2048,512,4096,0.26871846057474613
2048,512,8192,0.4504355601966381
2048,1024,256,0.09661959484219551
2048,1024,512,0.10622688569128513
2048,1024,1024,0.14145253226161003
2048,1024,2048,0.19446085207164288
2048,1024,4096,0.33089425414800644
2048,1024,8192,0.4688650369644165
2048,2048,256,0.13036211021244526
2048,2048,512,0.14507444575428963
2048,2048,1024,0.16975007019937038
2048,2048,2048,0.22988091222941875
2048,2048,4096,0.33694994635879993
2048,2048,8192,0.5724821239709854
2048,4096,256,0.1598771195858717
2048,4096,512,0.17765513621270657
2048,4096,1024,0.22872397676110268
2048,4096,2048,0.31650764867663383
2048,4096,4096,0.5282142665237188
2048,4096,8192,0.8637276478111744
2048,8192,256,0.3108563832938671
2048,8192,512,0.33694994635879993
2048,8192,1024,0.41063642129302025
2048,8192,2048,0.5121803842484951
2048,8192,4096,0.8165601175278425
2048,8192,8192,1.496796729043126
4096,256,256,0.10945834219455719
4096,256,512,0.10292092338204384
4096,256,1024,0.13068737462162971
4096,256,2048,0.19245664589107037
4096,256,4096,0.28059096075594425
4096,256,8192,0.49734232015907764
4096,512,256,0.11830939911305904
4096,512,512,0.12467149645090103
4096,512,1024,0.1501939259469509
4096,512,2048,0.22424082271754742
4096,512,4096,0.3327522426843643
4096,512,8192,0.5850300658494234
4096,1024,256,0.11762790381908417
4096,1024,512,0.13709953054785728
4096,1024,1024,0.17490959726274014
4096,1024,2048,0.3158159088343382
4096,1024,4096,0.4674019291996956
4096,1024,8192,0.7753833197057247
4096,2048,256,0.16740523278713226
4096,2048,512,0.22269319742918015
4096,2048,1024,0.23801112547516823
4096,2048,2048,0.330677954480052
4096,2048,4096,0.5174651741981506
4096,2048,8192,0.9150924161076546
4096,4096,256,0.2414928749203682
4096,4096,512,0.2742584329098463
4096,4096,1024,0.3429809585213661
4096,4096,2048,0.489287544041872
4096,4096,4096,0.7815447170287371
4096,4096,8192,1.4159870333969593
4096,8192,256,0.4155258648097515
4096,8192,512,0.5234160926192999
4096,8192,1024,0.6617673207074404
4096,8192,2048,0.8748583495616913
4096,8192,4096,1.4964307192713022
4096,8192,8192,2.5935957673937082
8192,256,256,0.11424697004258633
8192,256,512,0.14540436677634716
8192,256,1024,0.18965196795761585
8192,256,2048,0.27991971001029015
8192,256,4096,0.46042888425290585
8192,256,8192,0.819280045107007
8192,512,256,0.15306402929127216
8192,512,512,0.16702967695891857
8192,512,1024,0.21602539345622063
8192,512,2048,0.3291158936917782
8192,512,4096,0.5349877756088972
8192,512,8192,0.9547513909637928
8192,1024,256,0.17928751185536385
8192,1024,512,0.20209955982863903
8192,1024,1024,0.2799194771796465
8192,1024,2048,0.41681365109980106
8192,1024,4096,0.7093660533428192
8192,1024,8192,1.3797839637845755
8192,2048,256,0.25264336727559566
8192,2048,512,0.291390810161829
8192,2048,1024,0.3768594469875097
8192,2048,2048,0.5544640589505434
8192,2048,4096,0.9408106561750174
8192,2048,8192,1.6719766426831484
8192,4096,256,0.4517934285104275
8192,4096,512,0.5328338593244553
8192,4096,1024,0.6555006839334965
8192,4096,2048,0.948319211602211
8192,4096,4096,1.498850528150797
8192,4096,8192,2.544625662267208
8192,8192,256,0.7154117338359356
8192,8192,512,0.931361922994256
8192,8192,1024,1.2046350166201591
8192,8192,2048,1.756248064339161
8192,8192,4096,2.8479485772550106
8192,8192,8192,5.049562081694603
