M,N,K,t_measured_ms
8,13896,256,-1.0
8,13896,512,-1.0
8,13896,1024,-1.0
8,13896,2048,-1.0
8,13896,2885,-1.0
8,13896,4096,-1.0
8,13896,6227,-1.0
8,13896,8192,-1.0
8,13896,12632,-1.0
8,13896,13940,-1.0
8,13896,15254,-1.0
8,13896,16384,-1.0
8,14440,256,-1.0
8,14440,512,-1.0
8,14440,1024,-1.0
8,14440,2048,-1.0
8,14440,2885,-1.0
8,14440,4096,-1.0
8,14440,6227,-1.0
8,14440,8192,-1.0
8,14440,12632,-1.0
8,14440,13940,-1.0
8,14440,15254,-1.0
8,14440,16384,-1.0
8,16384,256,0.017496058717370033
8,16384,512,0.017105950973927975
8,16384,1024,0.02022006083279848
8,16384,2048,0.023665023036301136
8,16384,2885,-1.0
8,16384,4096,0.03059499431401491
8,16384,6227,-1.0
8,16384,8192,0.0471300445497036
8,16384,12632,-1.0
8,16384,13940,-1.0
8,16384,15254,-1.0
8,16384,16384,0.20194996614009142
16,256,256,0.016184058040380478
16,256,512,0.016695004887878895
16,256,1024,0.017315964214503765
16,256,2048,0.018678023479878902
16,256,2885,-1.0
16,256,4096,0.02022006083279848
16,256,6227,-1.0
16,256,8192,0.021061976440250874
16,256,12632,-1.0
16,256,13940,-1.0
16,256,15254,-1.0
16,256,16384,0.02193299587816
16,512,256,0.016663921996951103
16,512,512,0.016674981452524662
16,512,1024,0.017486046999692917
16,512,2048,0.018737977370619774
16,512,2885,-1.0
16,512,4096,0.02140202559530735
16,512,6227,-1.0
16,512,8192,0.021302024833858013
16,512,12632,-1.0
16,512,13940,-1.0
16,512,15254,-1.0
16,512,16384,0.02258399035781622
16,1024,256,0.015762983821332455
16,1024,512,0.016795005649328232
16,1024,1024,0.01559301745146513
16,1024,2048,0.016995007172226906
16,1024,2885,-1.0
16,1024,4096,0.020180013962090015
16,1024,6227,-1.0
16,1024,8192,0.02344499807804823
16,1024,12632,-1.0
16,1024,13940,-1.0
16,1024,15254,-1.0
16,1024,16384,0.02550799399614334
16,2048,256,0.01673505175858736
16,2048,512,0.016815029084682465
16,2048,1024,0.017435988411307335
16,2048,2048,0.018817954696714878
16,2048,2885,-1.0
16,2048,4096,0.02034008502960205
16,2048,6227,-1.0
16,2048,8192,0.022202031686902046
16,2048,12632,-1.0
16,2048,13940,-1.0
16,2048,15254,-1.0
16,2048,16384,0.02671999391168356
16,2127,256,-1.0
16,2127,512,-1.0
16,2127,1024,-1.0
16,2127,2048,-1.0
16,2127,2885,-1.0
16,2127,4096,-1.0
16,2127,6227,-1.0
16,2127,8192,-1.0
16,2127,12632,-1.0
16,2127,13940,-1.0
16,2127,15254,-1.0
16,2127,16384,-1.0
16,4096,256,0.016774050891399384
16,4096,512,0.01692492514848709
16,4096,1024,0.017406069673597813
16,4096,2048,0.018937978893518448
16,4096,2885,-1.0
16,4096,4096,0.021661981008946896
16,4096,6227,-1.0
16,4096,8192,0.02514792140573263
16,4096,12632,-1.0
16,4096,13940,-1.0
16,4096,15254,-1.0
16,4096,16384,0.03251899033784866
16,5268,256,-1.0
16,5268,512,-1.0
16,5268,1024,-1.0
16,5268,2048,-1.0
16,5268,2885,-1.0
16,5268,4096,-1.0
16,5268,6227,-1.0
16,5268,8192,-1.0
16,5268,12632,-1.0
