bs,seq,nh,nkv,hd,t_measured_ms
1,14267,8,4,128,2.4800930405035615
1,14267,16,1,64,2.436949056573212
1,14267,16,1,128,4.9972389824688435
1,14267,16,2,64,2.4402940180152655
1,14267,16,2,128,4.994034999981523
1,14267,16,4,64,2.4393820203840733
1,14267,16,4,128,4.9872639356181026
1,14267,32,1,64,4.888057941570878
1,14267,32,1,128,9.966467972844839
1,14267,32,2,64,4.889279021881521
1,14267,32,2,128,9.952327003702521
1,14267,32,4,64,4.890321055427194
1,14267,32,4,128,9.937764960341156
1,16384,4,1,64,0.8770120330154896
1,16384,4,1,128,1.759301987476647
1,16384,4,2,64,0.8746689418330789
1,16384,4,2,128,1.7538440879434347
1,16384,4,4,64,0.8719749748706818
1,16384,4,4,128,1.7520110122859478
1,16384,8,1,64,1.698673004284501
1,16384,8,1,128,3.481470048427582
1,16384,8,2,64,1.695237006060779
1,16384,8,2,128,3.48180893342942
1,16384,8,4,64,1.6954970778897405
1,16384,8,4,128,3.4847439965233207
1,16384,16,1,64,3.151849959976971
1,16384,16,1,128,6.597465951927006
1,16384,16,2,64,3.1956450548022985
1,16384,16,2,128,6.605016998946667
1,16384,16,4,64,3.202164894901216
1,16384,16,4,128,6.608633091673255
1,16384,32,1,64,6.382726016454399
1,16384,32,1,128,13.188721961341798
1,16384,32,2,64,6.384039064869285
1,16384,32,2,128,13.195192092098296
1,16384,32,4,64,6.3830469734966755
1,16384,32,4,128,13.191096018999815
